"",BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS
1982-02,216.665,,3154.826,,2188.858,,-173.698,,-169.008,,14771.207,,-1041.450,,250.066,,466.377,,1870.347,,2627.235,,168.389,,-965.968,,564.955,,236.984,,187.918,,230.012,,17398.443,,-,Nothing exists,446.120,,100.462,,-80.204,,1229.368,,-1200.693,,2044.045,
1982-03,-3.177,,3941.609,,2602.888,,139.001,,300.673,,17112.775,,-1050.648,,117.196,,2280.470,,1874.780,,3645.291,,311.292,,-1338.721,,-490.852,,611.414,,217.655,,1057.090,,20758.066,,-,Nothing exists,1394.923,,974.293,,-88.746,,1268.303,,677.506,,1735.779,
1982-04,-1528.553,,3742.179,,2585.965,,476.991,,-1815.922,,15978.968,,-1118.191,,-1000.567,,920.432,,2176.275,,2341.876,,329.809,,-1156.213,,1044.627,,1195.193,,187.495,,1211.352,,18320.844,,-,Nothing exists,544.462,,460.011,,-84.042,,1305.686,,-331.429,,1699.284,
1982-05,-125.752,,3700.173,,2350.255,,290.926,,-322.678,,14661.148,,-1057.778,,-451.506,,1042.416,,2058.585,,2957.640,,162.416,,-1349.918,,-476.407,,670.729,,171.429,,531.950,,17618.788,,-,Nothing exists,840.870,,281.133,,-79.587,,1229.207,,730.987,,1767.659,
1982-06,-119.380,,4102.596,,2653.672,,-95.347,,-2031.312,,14980.271,,-978.634,,-759.554,,-728.576,,1844.974,,3228.922,,429.989,,-1448.923,,-1086.660,,600.457,,296.021,,272.290,,18209.193,,-,Nothing exists,706.017,,-1346.497,,-88.096,,1274.654,,-65.717,,1940.321,
1982-07,1105.807,,4783.747,,2652.573,,-67.860,,-737.027,,14818.155,,-1241.768,,-504.083,,-1373.453,,2144.952,,2752.894,,491.188,,-2131.174,,-527.674,,-1180.607,,280.330,,52.993,,17571.049,,-,Nothing exists,-687.908,,-599.934,,-85.611,,1522.098,,-811.077,,2212.811,
1982-08,-115.194,,4990.676,,2707.093,,469.978,,-2033.614,,13735.862,,-1307.705,,-1130.513,,-2289.137,,2116.375,,1593.741,,-17.914,,-2283.583,,-352.310,,20.260,,133.745,,-257.870,,15329.603,,-,Nothing exists,-1527.569,,-670.016,,-91.552,,1441.450,,-435.597,,1646.397,
1982-09,-44.959,,4327.307,,2682.156,,385.475,,647.088,,14761.966,,-1002.274,,18.620,,505.393,,2015.456,,3038.668,,-119.809,,-1645.151,,508.426,,124.043,,233.773,,-145.929,,17800.633,,-,Nothing exists,776.719,,-177.145,,-94.181,,1236.047,,165.002,,1629.981,
1982-10,-338.835,,3517.035,,2312.259,,486.945,,-1692.788,,15034.622,,-1419.481,,-177.302,,-135.927,,2118.762,,3191.658,,492.005,,-1204.775,,659.299,,726.625,,195.957,,338.231,,18226.280,,-,Nothing exists,1054.347,,-1132.893,,-57.380,,1615.438,,-1835.950,,1631.817,
1982-11,-1433.958,,3070.114,,2610.426,,342.139,,88.125,,15062.701,,-763.516,,43.902,,2072.324,,1974.344,,3361.122,,196.840,,-459.688,,2093.145,,1505.445,,206.807,,281.915,,18423.823,,-,Nothing exists,2480.057,,-340.373,,-67.360,,970.323,,-614.963,,1632.205,
1982-12,226.771,,3789.097,,2850.350,,247.128,,1500.798,,14911.028,,-1185.621,,1884.050,,2370.408,,1805.520,,4087.577,,633.695,,-938.747,,-1348.299,,825.452,,272.006,,-589.536,,18998.605,,-,Nothing exists,2210.336,,252.251,,-92.179,,1457.627,,738.275,,1558.393,
1983-01,-1.478,,3336.193,,2458.911,,580.988,,-2256.316,,14033.781,,-1128.054,,-2657.462,,-807.426,,2151.019,,2185.416,,372.073,,-877.283,,-315.042,,1165.661,,192.641,,-88.844,,16219.197,,-,Nothing exists,761.067,,-1547.302,,-21.191,,1320.695,,717.666,,1570.032,
1983-02,95.502,,3009.250,,2198.612,,436.522,,-1100.965,,13852.167,,-923.358,,521.775,,2082.259,,2149.609,,2397.025,,376.106,,-810.638,,-1786.249,,1985.883,,198.147,,821.235,,16249.192,,-,Nothing exists,1099.551,,1075.018,,-92.310,,1121.504,,68.007,,1713.087,
1983-03,111.813,,3730.648,,2675.121,,315.387,,-127.041,,16433.086,,-983.878,,1234.194,,3259.922,,2086.745,,3578.827,,-6.245,,-1055.527,,-1723.451,,2984.093,,225.122,,409.114,,20011.913,,-,Nothing exists,1854.809,,1493.359,,-88.246,,1209.001,,250.403,,1771.357,
1983-04,1090.984,,3640.743,,2470.144,,636.798,,4843.686,,14704.263,,-931.268,,1152.158,,-839.257,,1991.305,,1892.373,,211.228,,-1170.599,,2331.606,,-6341.554,,378.060,,447.382,,16596.636,,-,Nothing exists,427.303,,-1181.406,,-85.154,,1309.329,,268.939,,1354.508,
1983-05,-402.103,,3433.879,,2465.627,,245.867,,1229.543,,15306.318,,-1008.827,,1216.942,,589.864,,2190.692,,2456.158,,-130.171,,-968.252,,-256.693,,-411.159,,184.406,,-98.349,,17762.476,,-,Nothing exists,724.946,,-68.930,,-66.151,,1193.233,,671.398,,1944.825,
1983-06,304.818,,4106.738,,2860.697,,316.372,,1026.679,,15400.144,,-1174.595,,1007.164,,541.972,,2376.569,,2474.286,,379.588,,-1246.041,,418.397,,-868.132,,251.625,,3.838,,17874.430,,-,Nothing exists,370.021,,295.938,,-123.987,,1426.220,,-703.700,,2060.197,
1983-07,-98.799,,5017.983,,2655.293,,577.800,,-1793.810,,14780.078,,-1288.380,,-585.362,,-1182.223,,2207.845,,1520.484,,418.453,,-2362.690,,-1585.957,,458.756,,200.162,,-265.622,,16300.561,,-,Nothing exists,-1552.787,,451.600,,-81.036,,1488.542,,476.308,,1630.045,
1983-08,-113.472,,4988.972,,2906.116,,563.344,,856.210,,14676.818,,-1186.019,,-60.626,,-1327.757,,2109.643,,1209.751,,196.485,,-2082.857,,1006.915,,-1400.698,,192.025,,-979.754,,15886.569,,-,Nothing exists,-1495.780,,245.547,,-77.523,,1378.044,,23.393,,1546.299,
1983-09,3.969,,4788.140,,2966.720,,699.441,,2502.934,,16163.777,,-1054.240,,2031.239,,1739.129,,2262.498,,2638.997,,639.901,,-1821.420,,1539.915,,46.486,,202.424,,-1450.193,,18802.773,,-,Nothing exists,462.778,,1407.837,,-131.486,,1256.664,,-1072.188,,1563.057,
1983-10,-0.637,,3735.310,,2609.900,,738.876,,-866.491,,15844.234,,-1151.554,,-818.209,,626.097,,2335.806,,3161.925,,546.695,,-1125.410,,963.980,,1250.660,,152.173,,-304.767,,19006.159,,-,Nothing exists,1623.837,,-936.933,,-60.807,,1303.727,,-1011.626,,1596.930,
1983-11,-233.192,,3275.826,,2576.593,,1001.393,,2183.377,,16848.209,,-1875.004,,582.549,,2026.304,,2274.950,,2349.540,,182.589,,-699.233,,2054.959,,127.128,,256.386,,-466.791,,19197.749,,-,Nothing exists,776.696,,1354.303,,-104.695,,2131.390,,-220.939,,1273.557,
1983-12,394.273,,3813.897,,2899.525,,127.260,,2413.931,,17402.887,,-1105.772,,663.556,,966.151,,2207.762,,2846.533,,236.908,,-914.372,,1769.023,,-1737.276,,448.420,,52.589,,20249.420,,-,Nothing exists,953.649,,67.313,,-54.810,,1554.192,,-412.921,,2080.502,
1984-01,-43.351,,3760.774,,2721.224,,941.405,,1151.837,,16515.061,,-1263.926,,601.553,,110.678,,2575.928,,1580.957,,-55.413,,-1039.549,,939.284,,-22.414,,161.363,,-963.333,,18096.018,,-,Nothing exists,218.886,,-54.710,,-53.499,,1425.290,,-345.649,,1634.523,
1984-02,-126.422,,3324.059,,2653.073,,178.215,,1256.584,,17001.574,,-1542.326,,1335.251,,2771.486,,2391.254,,3248.673,,343.175,,-670.986,,855.677,,2194.599,,241.734,,-1022.872,,20250.247,,-,Nothing exists,1213.576,,1638.543,,-80.633,,1784.060,,-807.921,,2213.039,
1984-03,-91.411,,3621.906,,2619.244,,1057.380,,-353.975,,18146.782,,-869.776,,1216.772,,1453.059,,2737.065,,2695.061,,456.501,,-1002.662,,-831.015,,1578.093,,169.582,,-227.561,,20841.843,,-,Nothing exists,1880.004,,-332.222,,-94.723,,1039.358,,-648.320,,1679.685,
1984-04,22.714,,3737.730,,2424.231,,702.527,,-2446.059,,16964.989,,-1299.802,,-450.464,,153.816,,2422.839,,1729.470,,257.996,,-1313.500,,-2398.448,,1857.993,,136.503,,483.885,,18694.459,,-,Nothing exists,-181.304,,410.221,,-75.101,,1436.305,,380.139,,1720.312,
1984-05,108.007,,3698.095,,2817.443,,535.735,,3065.358,,17581.704,,-1134.440,,1901.969,,2054.155,,2280.091,,3016.105,,225.927,,-880.653,,1080.386,,-1782.090,,217.872,,544.959,,20597.810,,-,Nothing exists,1536.747,,598.688,,-81.281,,1352.312,,-25.004,,1744.357,
1984-06,-148.880,,4338.745,,2989.273,,952.095,,-2699.041,,16299.236,,-1354.249,,-2468.909,,-571.292,,3000.780,,1504.588,,1024.902,,-1349.473,,-942.047,,-411.042,,298.366,,1513.889,,17803.824,,-,Nothing exists,-247.038,,-232.455,,-91.799,,1652.615,,860.795,,2048.685,
1984-07,96.514,,5188.641,,3168.320,,592.171,,-586.174,,17590.789,,-1407.966,,705.072,,-431.366,,2483.234,,1825.503,,282.259,,-2020.321,,-1971.684,,-845.697,,196.930,,718.246,,19416.292,,-,Nothing exists,-1010.613,,674.073,,-94.827,,1604.896,,583.924,,1891.064,
1984-08,-243.580,,5248.476,,2886.699,,743.775,,-448.754,,16365.197,,-1403.413,,-754.368,,118.060,,2499.280,,2282.650,,139.629,,-2361.777,,474.806,,83.983,,196.403,,343.202,,18647.847,,-,Nothing exists,-738.765,,949.453,,-92.629,,1599.816,,74.389,,1755.505,
1984-09,-78.975,,4784.692,,3014.461,,1149.447,,3643.917,,16739.497,,-1353.860,,3274.456,,1638.364,,2790.433,,3151.877,,690.722,,-1770.231,,-92.678,,-3028.771,,193.703,,332.496,,19891.374,,-,Nothing exists,1177.232,,536.990,,-75.858,,1547.563,,541.114,,1640.986,
1984-10,-347.484,,4190.501,,3076.330,,609.592,,2100.957,,18547.119,,-1464.924,,379.744,,1178.599,,2538.659,,5336.319,,268.836,,-1114.171,,1589.193,,-104.469,,142.829,,-1086.724,,23883.438,,-,Nothing exists,3366.816,,-2114.484,,-73.733,,1607.753,,479.503,,1929.067,
1984-11,100.982,,3529.361,,3115.955,,690.497,,3858.764,,18094.137,,-1234.303,,706.319,,3663.766,,2557.637,,4126.001,,636.268,,-413.407,,2435.319,,-205.815,,449.490,,-625.451,,22220.138,,-,Nothing exists,3168.788,,581.328,,-86.350,,1683.794,,616.144,,1867.141,
1984-12,-92.182,,3717.798,,3039.421,,1148.361,,4414.092,,16822.487,,-1590.997,,2613.370,,5507.580,,2849.746,,4195.962,,1976.408,,-678.376,,1345.016,,-365.729,,284.834,,-517.191,,21018.449,,-,Nothing exists,3074.950,,2515.320,,-82.690,,1875.830,,547.889,,1701.385,
1985-01,-15.873,,3812.169,,2878.109,,948.482,,1683.982,,18809.977,,-1352.581,,567.889,,126.350,,2972.534,,2046.342,,447.014,,-934.060,,-327.077,,-1253.638,,204.704,,-751.008,,20856.319,,-,Nothing exists,708.183,,-540.630,,-41.203,,1557.285,,1459.042,,2024.053,
1985-02,-549.614,,3668.811,,3031.607,,762.589,,4097.108,,18117.563,,-1256.957,,955.063,,3407.236,,2638.237,,3127.006,,324.676,,-637.204,,3291.749,,-683.495,,177.552,,-331.053,,21244.569,,-,Nothing exists,1995.435,,1502.567,,-90.765,,1434.509,,399.910,,1875.648,
1985-03,-416.745,,4094.746,,3008.204,,801.583,,2565.036,,20684.709,,-1230.095,,1377.430,,-923.742,,2515.811,,3718.843,,423.793,,-1086.542,,876.870,,-3585.675,,181.204,,-326.895,,24403.552,,-,Nothing exists,2203.790,,-3002.114,,-125.417,,1411.299,,727.481,,1714.228,
1985-04,32.325,,4070.126,,3049.072,,1116.111,,1612.707,,19101.837,,-1303.148,,2560.342,,3461.772,,2849.238,,3554.325,,708.204,,-1021.053,,-1143.623,,1034.081,,169.638,,106.780,,22656.161,,-,Nothing exists,2346.235,,1199.668,,-84.131,,1472.786,,163.662,,1733.127,
1985-05,-99.250,,4021.984,,3168.529,,1062.172,,1687.679,,19000.081,,-1198.999,,1438.375,,2559.169,,2953.531,,4161.525,,349.042,,-853.455,,451.164,,1388.060,,219.994,,-865.612,,23161.606,,-,Nothing exists,3171.243,,-526.082,,-85.993,,1418.993,,-102.610,,1891.360,
1985-06,-1.398,,4440.427,,3054.394,,375.808,,3209.825,,17431.850,,-1317.492,,213.162,,3379.487,,2657.466,,3160.268,,637.986,,-1386.033,,2639.027,,708.960,,364.197,,-1177.285,,20592.118,,-,Nothing exists,832.551,,2652.739,,-105.803,,1681.689,,359.034,,2281.658,
1985-07,68.914,,5502.531,,3608.365,,606.793,,-205.183,,19743.483,,-1404.307,,-666.031,,1310.458,,2650.682,,4409.363,,522.586,,-1894.166,,570.513,,1377.850,,235.703,,-384.795,,24152.846,,-,Nothing exists,1717.683,,-166.659,,-240.565,,1640.010,,-178.579,,2043.889,
1985-08,-124.144,,5737.283,,3415.189,,788.845,,-1441.552,,17052.466,,-1211.216,,-1483.574,,331.647,,2562.279,,2123.781,,691.571,,-2322.094,,-273.904,,1256.435,,200.177,,-174.807,,19176.247,,-,Nothing exists,-620.684,,1031.686,,-79.355,,1411.393,,440.071,,1773.434,
1985-09,-1.978,,5088.756,,3394.273,,1309.292,,2402.899,,17203.390,,-1207.521,,2219.828,,2704.666,,2958.090,,4403.402,,563.801,,-1694.483,,-970.199,,331.115,,225.701,,-593.149,,21606.792,,-,Nothing exists,2810.691,,-32.704,,-73.321,,1433.221,,1155.247,,1648.798,
1985-10,-13.996,,4205.564,,3048.613,,678.715,,4365.231,,19225.391,,-1152.533,,2305.208,,4464.827,,2754.732,,4986.126,,668.850,,-1156.951,,1456.498,,-1062.812,,311.986,,493.558,,24211.516,,-,Nothing exists,3355.358,,1194.969,,-85.500,,1464.519,,617.521,,2076.017,
1985-11,-85.272,,3555.566,,3161.957,,437.344,,-1748.239,,17338.038,,-1182.660,,947.924,,2804.090,,2962.051,,4696.773,,696.204,,-393.609,,-1351.247,,3678.012,,210.685,,178.113,,22034.811,,-,Nothing exists,3557.848,,-630.759,,-122.998,,1393.345,,-1259.644,,2524.708,
1985-12,-426.663,,3698.168,,3168.893,,850.011,,4211.459,,17062.147,,-1355.082,,-3139.700,,5877.057,,2738.133,,5231.061,,1572.618,,-529.275,,7399.197,,-610.513,,313.894,,703.494,,22293.208,,-,Nothing exists,4196.715,,1822.791,,-142.449,,1668.976,,378.625,,1888.122,
1986-01,418.975,,3858.860,,3008.511,,1093.626,,5746.589,,17369.634,,-1573.898,,4951.240,,1511.083,,2917.442,,4081.235,,-1317.637,,-850.348,,-256.950,,1652.980,,156.580,,-4570.850,,21450.868,,-,Nothing exists,2750.615,,-1206.775,,-32.757,,1730.478,,633.324,,1823.816,
1986-02,-40.528,,3522.160,,2945.724,,882.669,,6258.528,,16772.902,,-1224.014,,1985.672,,2604.423,,2868.336,,4494.242,,70.463,,-576.437,,4018.929,,266.163,,200.121,,-3990.731,,21267.144,,-,Nothing exists,3576.461,,-860.166,,-111.872,,1424.135,,294.455,,1985.667,
1986-03,-512.462,,3929.693,,2880.111,,459.170,,6427.890,,16778.301,,-1226.779,,7257.291,,4129.869,,2668.052,,4814.604,,466.386,,-1049.583,,-494.887,,-628.597,,277.927,,-2135.811,,21592.905,,-,Nothing exists,2997.412,,1236.567,,-104.110,,1504.705,,177.949,,2208.883,
1986-04,-992.130,,4229.145,,3210.955,,1098.080,,6388.473,,18992.256,,-1329.135,,5776.244,,3957.849,,3270.603,,5550.500,,572.556,,-1018.189,,898.571,,-1147.309,,163.376,,-1855.872,,24542.756,,-,Nothing exists,4301.256,,-244.095,,-99.312,,1492.511,,705.787,,2172.523,
1986-05,-957.769,,3814.798,,2864.127,,994.475,,4695.376,,15542.571,,-1251.961,,2058.390,,4444.866,,3101.379,,4614.527,,747.499,,-950.672,,3237.730,,-1616.329,,240.816,,618.320,,20157.098,,-,Nothing exists,3406.370,,1140.146,,-101.650,,1492.777,,357.026,,2106.904,
1986-06,-15.948,,4391.337,,2898.996,,-387.721,,2865.965,,16280.914,,-1030.444,,968.458,,3623.069,,2631.358,,5339.771,,657.744,,-1492.341,,1371.669,,592.063,,558.998,,-492.703,,21620.685,,-,Nothing exists,2429.265,,1300.504,,-106.699,,1589.442,,541.786,,3019.079,
1986-07,-89.813,,5453.558,,3386.190,,496.039,,3090.844,,16436.777,,-1392.379,,2108.338,,2477.283,,2732.661,,6021.756,,407.128,,-2067.368,,548.744,,1148.109,,250.354,,-2168.798,,22458.533,,-,Nothing exists,3058.047,,-469.823,,-110.941,,1642.733,,523.575,,2236.622,
1986-08,-68.948,,5545.552,,3168.316,,1421.174,,3691.912,,13404.325,,-1520.262,,-851.363,,1930.321,,3077.229,,4461.482,,382.947,,-2377.236,,4332.747,,1248.287,,202.823,,-3392.826,,17865.806,,-,Nothing exists,1985.157,,47.924,,-102.760,,1723.085,,279.476,,1656.055,
1986-09,-40.455,,5120.153,,3129.283,,1113.460,,2702.154,,15949.390,,-1276.530,,2275.442,,5667.937,,3061.865,,5797.626,,1348.167,,-1990.869,,-348.464,,2201.682,,252.215,,-584.066,,21747.016,,-,Nothing exists,3643.686,,2093.114,,-68.863,,1528.745,,815.631,,1948.406,
1986-10,-339.867,,4514.618,,3067.598,,1074.389,,595.553,,17565.699,,-1406.172,,2526.093,,3759.909,,2987.545,,6071.316,,681.597,,-1447.019,,-2436.398,,4524.196,,150.107,,-2041.438,,23637.014,,-,Nothing exists,4292.514,,-430.303,,-102.302,,1556.279,,845.725,,1913.156,
1986-11,223.978,,3501.322,,2887.304,,642.231,,11630.556,,14929.593,,-1290.697,,1732.928,,5248.984,,2656.049,,6109.773,,627.355,,-614.019,,9802.036,,-2150.135,,229.435,,-4858.793,,21039.366,,-,Nothing exists,4847.288,,457.162,,-55.467,,1520.132,,-128.386,,2013.819,
1986-12,-294.500,,3928.756,,3056.119,,218.857,,2552.521,,15364.063,,-1232.085,,-2683.364,,5457.584,,3013.160,,6601.391,,3911.663,,-872.637,,4804.057,,-371.250,,402.981,,-635.350,,21965.454,,-,Nothing exists,4715.527,,886.043,,-143.987,,1635.066,,726.327,,2794.303,
1987-01,249.693,,3798.958,,2756.059,,1246.959,,-1540.345,,14398.627,,-1507.982,,1097.570,,2506.443,,3469.450,,3964.419,,785.130,,-1042.900,,-3878.176,,8867.613,,223.516,,-5644.704,,18363.045,,38.749,,2660.495,,-108.245,,-45.807,,1731.499,,990.567,,2222.492,
1987-02,-179.740,,3455.794,,2523.230,,330.715,,3700.262,,15049.566,,-1937.719,,-143.026,,3333.681,,2599.914,,5890.374,,569.379,,-932.564,,4492.164,,326.035,,154.281,,-1292.543,,20939.940,,30.548,,3350.806,,79.815,,-96.940,,2092.000,,-469.136,,2269.199,
1987-03,75.425,,3961.630,,2950.575,,952.619,,6421.495,,17300.894,,-782.759,,1185.621,,2054.628,,3085.778,,5611.366,,323.584,,-1011.054,,3487.167,,-2325.778,,186.261,,-2356.497,,22912.260,,-8.176,,4770.172,,-2621.465,,-94.078,,969.019,,1673.281,,2133.159,
1987-04,280.883,,4055.693,,2951.740,,849.755,,3248.811,,16704.706,,-1339.980,,2980.060,,4127.815,,3078.657,,5164.820,,401.413,,-1103.953,,-975.772,,1422.244,,155.576,,-961.805,,21869.526,,17.153,,3570.641,,638.345,,-81.171,,1495.557,,963.640,,2228.902,
1987-05,107.777,,3935.826,,2945.097,,257.575,,5106.771,,15226.532,,-1299.784,,45.503,,5307.974,,2794.286,,5980.897,,343.700,,-990.729,,4567.885,,1738.989,,242.639,,-1915.780,,21207.429,,34.294,,3947.959,,1464.039,,-104.025,,1542.423,,385.606,,2536.711,
1987-06,282.946,,4882.234,,3145.028,,138.549,,2462.851,,15629.699,,-1103.935,,-675.338,,2017.652,,3133.343,,5199.182,,842.766,,-1737.205,,1782.838,,-903.947,,458.640,,-338.669,,20828.881,,-45.349,,2496.590,,-285.377,,-193.561,,1562.575,,1072.405,,2994.795,
1987-07,-38.901,,6079.799,,3537.155,,538.610,,2075.289,,16909.562,,-1462.490,,1141.113,,2265.647,,3240.766,,5316.697,,-17.186,,-2542.644,,-92.086,,-1259.071,,306.241,,1388.105,,22226.259,,78.511,,1850.173,,547.323,,-131.849,,1768.730,,1065.163,,2702.156,
1987-08,-671.389,,5664.642,,3116.742,,667.177,,-1220.074,,14025.673,,-1206.150,,-166.827,,101.503,,3015.331,,3603.789,,266.294,,-2547.899,,-1160.801,,327.502,,133.114,,655.706,,17629.462,,72.075,,516.916,,-335.170,,-80.244,,1339.265,,778.942,,2348.153,
1987-09,-1044.338,,5201.120,,3203.374,,863.306,,-394.649,,16007.865,,-1363.435,,2143.508,,4619.694,,3014.862,,6283.552,,858.872,,-1997.747,,-2089.542,,1904.867,,145.065,,2196.963,,22291.417,,53.640,,3785.675,,914.130,,-80.111,,1508.500,,595.723,,2151.556,
1987-10,1022.132,,4781.313,,3269.693,,812.294,,-3439.741,,17994.076,,-1296.279,,2311.892,,2627.958,,3053.267,,5503.702,,255.080,,-1511.620,,-7215.085,,1085.344,,290.654,,4492.841,,23497.778,,234.433,,3508.096,,-753.173,,-126.965,,1586.933,,441.320,,2240.973,
1987-11,711.998,,3851.703,,2903.562,,642.436,,2294.590,,16186.561,,-1321.172,,-1095.088,,7831.490,,2818.985,,6319.543,,645.908,,-948.141,,2339.752,,6691.100,,244.809,,-1853.717,,22506.103,,53.609,,4692.666,,3246.209,,-107.384,,1565.981,,337.928,,2176.549,
1987-12,651.917,,4252.327,,3543.097,,152.716,,-135.384,,16783.883,,-1428.057,,-3933.880,,3865.511,,2833.462,,6820.040,,909.409,,-709.230,,2238.521,,1503.731,,280.810,,1543.834,,23603.923,,43.920,,4835.469,,-859.926,,-110.032,,1708.867,,908.058,,2680.746,
1988-01,892.808,,3931.020,,2680.966,,793.470,,-116.116,,13198.223,,-1267.757,,2730.923,,3018.869,,3215.915,,5211.149,,1300.279,,-1250.053,,-5321.935,,1181.437,,384.629,,642.843,,18409.372,,10.427,,3486.808,,-473.169,,5.230,,1652.386,,1582.087,,2422.446,
